dataset,method,price,fit_seconds,utility_per_block,hits,raw_hits,input_blocks,cost,mean_blocks,peak_blocks,hit_rate,selected,capacity
synthetic,group,0.0003,8.95409903023392e-05,0.6800967979008775,43718,43718,61883,5438566.185,13303.40790342702,18066,0.7064621947869366,,
synthetic,depth,0.0003,9.904199396260083e-05,0.6556740007061713,42176,42176,61883,5336419.381,13053.544142755803,17767,0.6815442043856956,,
synthetic,group_depth,0.0003,0.00029095899662934244,0.6542317457524683,42085,42085,61883,5330589.592,13039.283755289744,17759,0.6800736874424317,,
synthetic,unconstrained,0.0003,2.9916991479694843e-05,0.6542317457524683,42085,42085,61883,5330589.592,13039.283755289744,17759,0.6800736874424317,,
synthetic,selected,0.0003,0.0,0.6556740007061713,42176,42176,61883,5336419.381,13053.544142755803,17767,0.6815442043856956,depth,
synthetic,global,0.001,3.1333009246736765e-05,0.6199538488114669,43809,43809,61883,5444395.974,13317.66829089308,18074,0.7079327117302006,,
synthetic,group,0.001,9.091699030250311e-05,0.6185775385000727,43718,43718,61883,5438566.185,13303.40790342702,18066,0.7064621947869366,,
synthetic,depth,0.001,0.00011412499588914216,0.5953101921206148,42176,42176,61883,5336419.381,13053.544142755803,17767,0.6815442043856956,,
synthetic,group_depth,0.001,0.0002703330246731639,0.5939338818092206,42085,42085,61883,5330589.592,13039.283755289744,17759,0.6800736874424317,,
synthetic,unconstrained,0.001,3.087500226683915e-05,0.5941299570641372,42085,42085,61883,5318455.867,13009.603157946234,17606,0.6800736874424317,,
synthetic,selected,0.001,0.0,0.5953101921206148,42176,42176,61883,5336419.381,13053.544142755803,17767,0.6815442043856956,depth,
synthetic,global,0.003,3.4582975786179304e-05,0.05825538950923517,4141,4141,61883,178660.577,437.025946038502,1157,0.06691660068193203,,
synthetic,group,0.003,8.679198799654841e-05,0.07202731554708079,5529,5529,61883,357244.544,873.8644945084513,1736,0.08934602394841878,,
synthetic,depth,0.003,8.7958003859967e-05,0.05848875647593038,4138,4138,61883,172846.761,422.8046305129522,975,0.06686812210138487,,
synthetic,group_depth,0.003,0.0002653330157045275,0.072260682513776,5526,5526,61883,351430.728,859.6431789829016,1584,0.08929754536787163,,
synthetic,unconstrained,0.003,2.7999980375170708e-05,0.027451093143512757,2256,3419,61883,185748.001,454.36266480761236,976,0.03645589257146551,,
synthetic,selected,0.003,0.0,0.072260682513776,5526,5526,61883,351430.728,859.6431789829016,1584,0.08929754536787163,group_depth,
synthetic,global,0.01,2.854198100976646e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group,0.01,8.983397856354713e-05,0.0009651788051645847,107,107,61883,4727.184,11.563278784765538,49,0.001729069372848763,,
synthetic,depth,0.01,8.950001210905612e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group_depth,0.01,0.0002683750062715262,0.0009651788051645847,107,107,61883,4727.184,11.563278784765538,49,0.001729069372848763,,
synthetic,unconstrained,0.01,2.5334011297672987e-05,-0.005313931936072912,0,276,61883,32884.205,80.43884689709157,157,0.0,,
synthetic,selected,0.01,0.0,0.0,0,0,61883,0.0,0.0,0,0.0,depth,
synthetic,global,0.03,3.1958974432200193e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group,0.03,8.483300916850567e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,depth,0.03,8.116697426885366e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group_depth,0.03,0.00027249997947365046,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,unconstrained,0.03,3.087500226683915e-05,-0.0009146594379716562,0,55,61883,1886.729,4.6151733078936426,35,0.0,,
synthetic,selected,0.03,0.0,0.0,0,0,61883,0.0,0.0,0,0.0,depth,
synthetic,global,0.1,3.0750001315027475e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group,0.1,9.17089928407222e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,depth,0.1,8.329201955348253e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group_depth,0.1,0.00026345800142735243,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,unconstrained,0.1,2.649999805726111e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,selected,0.1,0.0,0.0,0,0,61883,0.0,0.0,0,0.0,depth,
synthetic,global,0.3,3.183301305398345e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group,0.3,8.829199941828847e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,depth,0.3,7.487498805858195e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group_depth,0.3,0.000259541004197672,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,unconstrained,0.3,3.012499655596912e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,selected,0.3,0.0,0.0,0,0,61883,0.0,0.0,0,0.0,depth,
synthetic,global,1.0,3.05419962387532e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group,1.0,8.637501741759479e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,depth,1.0,7.849998655728996e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,group_depth,1.0,0.0003224580141250044,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,unconstrained,1.0,2.579099964350462e-05,0.0,0,0,61883,0.0,0.0,0,0.0,,
synthetic,selected,1.0,0.0,0.0,0,0,61883,0.0,0.0,0,0.0,depth,
synthetic,LRU,,,,2182,2547,61883,104530.67199999999,255.69499767618203,256,0.03526008758463552,,256.0
synthetic,FIFO,,,,2266,2645,61883,104530.67199999999,255.69499767618203,256,0.036617487839956046,,256.0
synthetic,LRU,,,,9184,9366,61883,415678.761,1016.8018419314594,1024,0.14840909458171064,,1024.0
synthetic,FIFO,,,,9471,9561,61883,415678.761,1016.8018419314594,1024,0.1530468787873891,,1024.0
synthetic,LRU,,,,25685,25726,61883,1611638.329,3942.267383381032,4096,0.4150574471179484,,4096.0
synthetic,FIFO,,,,24472,24529,61883,1611638.329,3942.267383381032,4096,0.39545594105004606,,4096.0
synthetic,LRU,,,,43794,43794,61883,5242974.923999999,12824.96740295002,16384,0.7076903188274647,,16384.0
synthetic,FIFO,,,,42994,43042,61883,5242974.923999999,12824.96740295002,16384,0.6947626973482216,,16384.0
synthetic,unbounded_reference,,,,43809,43809,61883,5444395.974,13317.66829089308,18074,0.7079327117302006,,
