dataset,price,comparator,selected,difference,bootstrap_low,bootstrap_high,buckets,selected_hit,baseline_hit,selected_mean,baseline_mean
synthetic,0.0,group,depth,-0.024917990401241052,-0.041718703068435115,-0.008255581899124977,7,0.6815442043856956,0.7064621947869366,13053.544142755793,13303.407903427029
synthetic,0.0001,global,depth,-0.02621402227913968,-0.042475730559523424,-0.010019866961256032,7,0.6815442043856956,0.7079327117302006,13053.544142755793,13317.668290893049
synthetic,0.0001,group,depth,-0.024752925999062734,-0.04153932694405362,-0.008150669345182257,7,0.6815442043856956,0.7064621947869366,13053.544142755793,13303.407903427029
synthetic,0.0003,global,depth,-0.025865052148409135,-0.04210167897002033,-0.00970081614552905,7,0.6815442043856956,0.7079327117302006,13053.544142755793,13317.668290893049
synthetic,0.0003,group,depth,-0.024422797194706098,-0.041180574695290635,-0.007940844237296817,7,0.6815442043856956,0.7064621947869366,13053.544142755793,13303.407903427029
synthetic,0.001,global,depth,-0.024643656690852223,-0.040857838335061444,-0.008620567449499662,7,0.6815442043856956,0.7079327117302006,13053.544142755793,13317.668290893049
synthetic,0.001,group,depth,-0.02326734637945788,-0.03992494182462018,-0.006842024301990978,7,0.6815442043856956,0.7064621947869366,13053.544142755793,13303.407903427029
synthetic,0.003,global,group_depth,0.014005293004540807,0.007520059396500592,0.02064571615548371,7,0.08929754536787163,0.06691660068193203,859.643178982903,437.0259460385025
synthetic,0.003,group,group_depth,0.00023336696669521196,8.415153508068846e-05,0.00036939138706469047,7,0.08929754536787163,0.08934602394841878,859.643178982903,873.8644945084526
synthetic,0.01,global,depth,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
synthetic,0.01,group,depth,-0.0009651788051645866,-0.002205991739460691,4.081580574200627e-05,7,0.0,0.001729069372848763,0.0,11.563278784765508
synthetic,0.03,global,depth,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
synthetic,0.03,group,depth,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
synthetic,0.1,global,depth,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
synthetic,0.1,group,depth,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
synthetic,0.3,global,depth,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
synthetic,0.3,group,depth,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
synthetic,1.0,global,depth,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
synthetic,1.0,group,depth,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
